project_name,description,Governorate,Town,land_type,Area,Neighborhood,neighborhood_no,parcel_no,political_classification,slope,view_quality,area_m2,land_use_types,land_use_residential,land_use_commercial,land_use_agricultural,land_use_industrial,electricity,water,Sewage,parcel_frontage (m),road_status1,width_m,road_status2,width_m,road_status3,width_m,parcel_shape,hospitals_facility,schools_facility,police_facility,municipality_facility,LANDFILL_NEARBY,FACTORIES_NEARBY,NOISY_FACILITIES,ANIMAL_FARMS,ownership_document_type,actual_price_per_m2,,,
12,12,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,73,AREA_A,Flat (0-5%),GOOD,3039,INDUSTRIAL,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,0,PRIVATE_EXISTING_UNPAVED,6,FALSE,,FALSE,,IRREGULAR,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TABU,85,,,
13,13,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,40,AREA_A,Flat (0-5%),GOOD,1225,INDUSTRIAL,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,20,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,170,,,
14,14,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,46,AREA_A,Flat (0-5%),GOOD,1102,INDUSTRIAL,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,34,PUBLIC_EXISTING_PAVED,10,FALSE,,FALSE,,SQUARE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,100,,,
15,15,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,49,AREA_A,Flat (0-5%),GOOD,920,AGRICULTURAL,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PRIVATE_EXISTING_UNPAVED,6,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TABU,70,,,
16,16,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,5,AREA_A,Flat (0-5%),GOOD,1931,INDUSTRIAL,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,53,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,IRREGULAR,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,170,,,
17,17,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,38,AREA_A,Flat (0-5%),GOOD,1946,INDUSTRIAL,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,59,PUBLIC_EXISTING_UNPAVED,9,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,90,,,
18,18,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,9,AREA_A,Flat (0-5%),GOOD,5680,AGRICULTURAL,FALSE,FALSE,FALSE,FALSE,NO,YES,YES_PRIVATE,190,PUBLIC_EXISTING_PAVED,6,FALSE,,FALSE,,IRREGULAR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,60,,,
19,19,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,33,AREA_A,Flat (0-5%),GOOD,3129,INDUSTRIAL,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,40,PUBLIC_EXISTING_UNPAVED,10,FALSE,,FALSE,,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,90,,,
20,20,Hebron,Bani Naim,PRIVATE,Arabiyah,Jaljal Abu Ali Basin,17,3,AREA_A,Flat (0-5%),GOOD,3155,INDUSTRIAL,FALSE,FALSE,FALSE,TRUE,YES_3PHASE,YES,YES_PRIVATE,37,PUBLIC_EXISTING_PAVED,16,PUBLIC_EXISTING_PAVED,10,PRIVATE_EXISTING_UNPAVED,4,RECTANGLE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TABU,180,,,
21,21,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,58,AREA_C,Flat (0-5%),FANTACTIC,2240,COMMERCIAL,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,70,PUBLIC_EXISTING_PAVED,16,PRIVATE_EXISTING_PAVED,6,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,50,,,
22,22,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,92,AREA_C,Moderate (15-30%),GOOD,1294,RESIDENTIAL,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,26,PUBLIC_EXISTING_UNPAVED,8,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,30,,,
23,23,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,27,AREA_B,Mild (5-15%),GOOD,409,RESIDENTIAL,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PRIVATE_EXISTING_UNPAVED,4,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,45,,,
24,24,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,35,AREA_B,Mild (5-15%),GOOD,1229,COMMERCIAL,TRUE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,30,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,120,,,
25,25,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,51,AREA_B,Flat (0-5%),BAD,859,RESIDENTIAL,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,35,PUBLIC_EXISTING_UNPAVED,12,FALSE,,FALSE,,SQUARE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,35,,,
26,26,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,72,AREA_B,Flat (0-5%),BAD,1964,RESIDENTIAL,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,43,PUBLIC_EXISTING_UNPAVED,12,PUBLIC_EXISTING_UNPAVED,10,PUBLIC_EXISTING_UNPAVED,10,SQUARE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,45,,,
27,27,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,55,AREA_C,Mild (5-15%),GOOD,2149,RESIDENTIAL,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,37,PUBLIC_EXISTING_PAVED,6,PUBLIC_EXISTING_PAVED,16,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,30,,,
28,28,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,45,AREA_C,Moderate (15-30%),GOOD,403,RESIDENTIAL,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,20,PUBLIC_EXISTING_UNPAVED,5,FALSE,,FALSE,,IRREGULAR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,32,,,
29,29,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,83,AREA_B,Moderate (15-30%),GOOD,1707,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,33,PUBLIC_EXISTING_UNPAVED,10,FALSE,,FALSE,,SQUARE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,35,,,
30,30,Hebron,Bani Naim,PRIVATE,Yaqeen,Yaqeen,41,41,AREA_C,Mild (5-15%),GOOD,2068,RESIDENTIAL,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,39,PRIVATE_EXISTING_PAVED,6,FALSE,,FALSE,,IRREGULAR,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,28,,,
31,31,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,104,AREA_A,Steep (>30%),GOOD,835,COMMERCIAL,FALSE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,21,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,120,,,
32,32,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,38,AREA_A,Flat (0-5%),GOOD,1083,COMMERCIAL,FALSE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,41,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,140,,,
33,33,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,2,AREA_A,Flat (0-5%),GOOD,2529,COMMERCIAL,FALSE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,48,PUBLIC_EXISTING_PAVED,20,FALSE,,FALSE,,SQUARE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TABU,240,,,
34,34,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,53,AREA_A,Flat (0-5%),GOOD,1638,COMMERCIAL,FALSE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,68,PUBLIC_EXISTING_PAVED,20,PRIVATE_EXISTING_PAVED,6,PRIVATE_EXISTING_PAVED,6,RECTANGLE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TABU,280,,,
35,35,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,84,AREA_A,Mild (5-15%),GOOD,1060,RESIDENTIAL,TRUE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,26,PUBLIC_EXISTING_PAVED,10,FALSE,,FALSE,,RECTANGLE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TABU,110,,,
36,36,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,57,AREA_A,Mild (5-15%),GOOD,1163,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PRIVATE_EXISTING_UNPAVED,5,FALSE,,FALSE,,RECTANGLE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TABU,75,,,
37,37,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,41,AREA_A,Mild (5-15%),FANTACTIC,1330,RESIDENTIAL,TRUE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,33,PUBLIC_EXISTING_PAVED,12,PRIVATE_EXISTING_PAVED,4,FALSE,,RECTANGLE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TABU,110,,,
38,38,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,117,AREA_A,Moderate (15-30%),GOOD,502,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PRIVATE_EXISTING_PAVED,4,FALSE,,FALSE,,RECTANGLE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TABU,50,,,
39,39,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,6,AREA_A,Mild (5-15%),GOOD,603,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,20,PRIVATE_EXISTING_UNPAVED,6,FALSE,,FALSE,,RECTANGLE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TABU,80,,,
40,40,Hebron,Bani Naim,PRIVATE,Abu Al-Jamal,Abu Al-Jamal Basin,1,70,AREA_A,Moderate (15-30%),GOOD,1157,COMMERCIAL,FALSE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,50,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,135,,,
41,41,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,8,AREA_A,Flat (0-5%),GOOD,2059,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PRIVATE_EXISTING_UNPAVED,5,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,80,,,
42,42,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,36,AREA_A,Flat (0-5%),GOOD,2265,COMMERCIAL,FALSE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,33,PUBLIC_EXISTING_PAVED,16,PRIVATE_EXISTING_PAVED,6,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,160,,,
43,43,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,41,AREA_A,Flat (0-5%),GOOD,925,COMMERCIAL,FALSE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,40,PUBLIC_EXISTING_PAVED,16,PRIVATE_EXISTING_UNPAVED,4,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,140,,,
44,44,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,55,AREA_A,Flat (0-5%),GOOD,756,COMMERCIAL,FALSE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,21,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,120,,,
45,45,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,4,AREA_A,Flat (0-5%),GOOD,3707,RESIDENTIAL,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PRIVATE_PROPOSED_UNPAVED,6,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,77,,,
46,46,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,86,AREA_A,Flat (0-5%),GOOD,733,COMMERCIAL,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,14,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,140,,,
47,47,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,53,AREA_A,Flat (0-5%),GOOD,1887,COMMERCIAL,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,37,PUBLIC_EXISTING_PAVED,12,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,110,,,
48,48,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,73,AREA_A,Flat (0-5%),GOOD,742,COMMERCIAL,FALSE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,45,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,140,,,
49,49,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,62,AREA_A,Flat (0-5%),GOOD,1542,COMMERCIAL,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,25,PUBLIC_EXISTING_PAVED,16,PRIVATE_PROPOSED_UNPAVED,4,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,115,,,
50,50,Hebron,Bani Naim,PRIVATE,Al-Wa'r,Al-Wa'r Basin,11,22,AREA_A,Flat (0-5%),GOOD,789,RESIDENTIAL,TRUE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,18,PUBLIC_EXISTING_PAVED,10,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,90,,,
51,51,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,21,AREA_A,Flat (0-5%),BAD,2789,,TRUE,TRUE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,23,PUBLIC_EXISTING_PAVED,16,PUBLIC_EXISTING_UNPAVED,12,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,105,,,
52,52,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,93,AREA_A,Flat (0-5%),BAD,6285,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,57,PUBLIC_EXISTING_UNPAVED,8,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,85,,,
53,53,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,71,AREA_A,Mild (5-15%),GOOD,1856,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,67,PUBLIC_EXISTING_UNPAVED,12,PUBLIC_EXISTING_UNPAVED,6,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,87,,,
54,54,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,49,AREA_A,Flat (0-5%),FANTACTIC,546,,TRUE,FALSE,FALSE,FALSE,YES_1PHASE,YES,YES_PRIVATE,25,PUBLIC_EXISTING_UNPAVED,10,FALSE,,FALSE,,SQUARE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,92,,,
55,55,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,116,AREA_A,Flat (0-5%),BAD,1437,,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,20,PUBLIC_EXISTING_PAVED,16,PUBLIC_EXISTING_UNPAVED,12,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,113,,,
56,56,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,1,AREA_A,Mild (5-15%),BAD,602,,FALSE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,23,PUBLIC_EXISTING_PAVED,16,PRIVATE_EXISTING_PAVED,5,FALSE,,SQUARE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TABU,150,,,
57,57,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,80,AREA_A,Flat (0-5%),BAD,1254,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,0,PUBLIC_EXISTING_UNPAVED,5,FALSE,,FALSE,,SQUARE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,83,,,
58,58,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,12,AREA_A,Mild (5-15%),GOOD,2425,,TRUE,FALSE,TRUE,FALSE,YES_1PHASE,YES,YES_PRIVATE,25,PUBLIC_PROPOSED_UNPAVED,6,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,80,,,
59,59,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,8,AREA_A,Flat (0-5%),BAD,1088,,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,15,PUBLIC_EXISTING_PAVED,16,PUBLIC_EXISTING_UNPAVED,12,FALSE,,TRIANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,82,,,
60,60,Hebron,Bani Naim,PRIVATE,Wadi Al-Joz - Industrial Zone Link,Wadi Al-Joz Basin,37,36,AREA_A,Flat (0-5%),BAD,2119,,TRUE,TRUE,FALSE,FALSE,YES_3PHASE,YES,YES_PRIVATE,26,PUBLIC_EXISTING_PAVED,16,FALSE,,FALSE,,RECTANGLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TABU,138,,,
